unit_id,cluster_id,owner_name,contact_number,is_vacant,handover_date
UNT-00001,CLS-SML-096,Pemilik Properti 0,08120452150,False,2021-10-24
UNT-00002,CLS-SML-075,Pemilik Properti 1,08117280852,True,2022-05-13
UNT-00003,CLS-SML-012,Pemilik Properti 2,08164339053,True,2022-06-19
UNT-00004,CLS-SML-035,Pemilik Properti 3,08180059262,False,2022-01-24
UNT-00005,CLS-SML-054,Pemilik Properti 4,08166340005,False,2020-12-30
UNT-00006,CLS-SML-090,Pemilik Properti 5,08159718364,True,2021-09-23
UNT-00007,CLS-SML-089,Pemilik Properti 6,,False,2020-05-26
UNT-00008,CLS-SML-025,Pemilik Properti 7,08186796837,True,2020-08-09
UNT-00009,CLS-SML-095,Pemilik Properti 8,08113907862,False,2021-06-28
UNT-00010,CLS-SML-096,Pemilik Properti 9,,False,2020-10-08
UNT-00011,CLS-SML-056,Pemilik Properti 10,08141183669,False,2020-08-29
UNT-00012,CLS-SML-054,Pemilik Properti 11,08131880411,False,2020-06-25
UNT-00013,CLS-SML-024,Pemilik Properti 12,,True,2021-07-21
UNT-00014,CLS-SML-059,Pemilik Properti 13,08195070318,False,2020-05-11
UNT-00015,CLS-SML-097,Pemilik Properti 14,,True,2020-10-31
UNT-00016,CLS-SML-017,Pemilik Properti 15,08175428159,False,2020-05-05
UNT-00017,CLS-SML-007,Pemilik Properti 16,08161381362,True,2020-11-09
UNT-00018,CLS-SML-082,Pemilik Properti 17,08127982477,True,2022-05-06
UNT-00019,CLS-SML-079,Pemilik Properti 18,08187348683,False,2020-09-25
UNT-00020,CLS-SML-058,Pemilik Properti 19,,False,2021-01-15
UNT-00021,CLS-SML-005,Pemilik Properti 20,,False,2021-06-30
UNT-00022,CLS-SML-047,Pemilik Properti 21,08117491747,False,2020-08-08
UNT-00023,CLS-SML-076,Pemilik Properti 22,08154371493,False,2022-04-11
UNT-00024,CLS-SML-007,Pemilik Properti 23,08182257786,True,2020-03-20
UNT-00025,CLS-SML-088,Pemilik Properti 24,,True,2021-05-22
UNT-00026,CLS-SML-019,Pemilik Properti 25,08140586332,True,2022-08-20
UNT-00027,CLS-SML-049,Pemilik Properti 26,08132126869,False,2022-02-20
UNT-00028,CLS-SML-040,Pemilik Properti 27,08189151886,False,2020-11-21
UNT-00029,CLS-SML-017,Pemilik Properti 28,08128368385,False,2021-12-15
UNT-00030,CLS-SML-099,Pemilik Properti 29,,True,2022-04-18
UNT-00031,CLS-SML-073,Pemilik Properti 30,08185388234,False,2020-11-17
UNT-00032,CLS-SML-047,Pemilik Properti 31,08113341475,False,2020-10-20
UNT-00033,CLS-SML-053,Pemilik Properti 32,08189887384,True,2022-01-30
UNT-00034,CLS-SML-041,Pemilik Properti 33,08147618817,False,2020-09-29
UNT-00035,CLS-SML-046,Pemilik Properti 34,08150623442,False,2021-02-10
UNT-00036,CLS-SML-003,Pemilik Properti 35,08139361636,False,2020-12-26
